sheet,variable_name,parish_count
1.Pop. & HH Composition,District,2327
1.Pop. & HH Composition,County,2327
1.Pop. & HH Composition,Subcounty,2327
1.Pop. & HH Composition,Parish,2327
1.Pop. & HH Composition,Population.Size.by.Parish,2327
1.Pop. & HH Composition,Female,2327
1.Pop. & HH Composition,Sex Ratio ,2327
1.Pop. & HH Composition,Total,2327
1.Pop. & HH Composition,Headship.of.Households.by.Sex,2327
1.Pop. & HH Composition,Percent,2327
1.Pop. & HH Composition,Fenale Headed,2327
1.Pop. & HH Composition,Percent.1,2327
1.Pop. & HH Composition,Household.Headship.by.specific.age.groups,2327
1.Pop. & HH Composition,Percent.2,2326
1.Pop. & HH Composition,18-30,2327
1.Pop. & HH Composition,Percent.3,2327
1.Pop. & HH Composition,60+,2327
1.Pop. & HH Composition,Percent.4,2327
1.Pop. & HH Composition,Total HHds,2327
1.Pop. & HH Composition,HHd.Population.by.Broad.Ages,2327
1.Pop. & HH Composition,Percent.5,2327
1.Pop. & HH Composition,18-30.1,2327
1.Pop. & HH Composition,Percent.6,2327
1.Pop. & HH Composition,31-59,2327
1.Pop. & HH Composition,Percent.7,2327
1.Pop. & HH Composition,60+.1,2327
1.Pop. & HH Composition,Percent.8,2327
1.Pop. & HH Composition,Total HH Pop,2327
1.Pop. & HH Composition,Population.Distribution.by.Special.Age.groups,2327
1.Pop. & HH Composition,Percent.9,2327
1.Pop. & HH Composition,0-4 Years,2327
1.Pop. & HH Composition,Percent.10,2327
1.Pop. & HH Composition,0-8 Years,2327
1.Pop. & HH Composition,Percent.11,2327
1.Pop. & HH Composition,2-8 Years,2327
1.Pop. & HH Composition,Percent.12,2327
1.Pop. & HH Composition,2-17 Years,2327
1.Pop. & HH Composition,Percent.13,2327
1.Pop. & HH Composition,6-12 Years,2327
1.Pop. & HH Composition,Percent.14,2327
1.Pop. & HH Composition,6-15 Years,2327
1.Pop. & HH Composition,Percent.15,2327
1.Pop. & HH Composition,10-15 Years,2327
1.Pop. & HH Composition,Percent.16,2327
1.Pop. & HH Composition,10-17 Years,2327
1.Pop. & HH Composition,Percent.17,2327
1.Pop. & HH Composition,15-24 Years,2327
1.Pop. & HH Composition,Percent.18,2327
1.Pop. & HH Composition,16-24 Years,2327
1.Pop. & HH Composition,Percent.19,2327
1.Pop. & HH Composition,15-29 Years,2327
1.Pop. & HH Composition,Percent.20,2327
1.Pop. & HH Composition,2 Years and Above,2327
1.Pop. & HH Composition,Percent.21,2327
1.Pop. & HH Composition,10 Years and Above,2327
1.Pop. & HH Composition,Percent.22,2327
1.Pop. & HH Composition,15 Years and Above,2327
1.Pop. & HH Composition,Percent.23,2327
1.Pop. & HH Composition,18 Years and above,2327
1.Pop. & HH Composition,Percent.24,2327
1.Pop. & HH Composition,20 Years and above,2327
1.Pop. & HH Composition,Percent.25,2327
1.Pop. & HH Composition,65 Years and Above,2327
1.Pop. & HH Composition,Percent.26,2327
2.Educ. & Literacy,District,2327
2.Educ. & Literacy,County,2327
2.Educ. & Literacy,Subcounty,2327
2.Educ. & Literacy,Parish,2327
2.Educ. & Literacy,Population.6-12.Years.not.attending.school,2327
2.Educ. & Literacy,Percent,2327
2.Educ. & Literacy,Females,2327
2.Educ. & Literacy,Percent.1,2327
2.Educ. & Literacy,Both Sexes,2327
2.Educ. & Literacy,Percent.2,2327
2.Educ. & Literacy,Population.(6-12).Attending.Primary.School,2327
2.Educ. & Literacy,Percent.3,2327
2.Educ. & Literacy,Females.1,2327
2.Educ. & Literacy,Percent.4,2327
2.Educ. & Literacy,Both Sexes.1,2327
2.Educ. & Literacy,Percent.5,2327
2.Educ. & Literacy,Population.(13-18).Attending.Secondary,2327
2.Educ. & Literacy,Percent.6,2327
2.Educ. & Literacy,Females.2,2327
2.Educ. & Literacy,Percent.7,2327
2.Educ. & Literacy,Both Sexes.2,2327
2.Educ. & Literacy,Percent.8,2327
2.Educ. & Literacy,Population.15.Years.and.above.below.S4,2327
2.Educ. & Literacy,Percent.9,2327
2.Educ. & Literacy,Females.3,2327
2.Educ. & Literacy,Percent.10,2327
2.Educ. & Literacy,Both Sexes.3,2327
2.Educ. & Literacy,Percent.11,2327
2.Educ. & Literacy,Population.18.Years.and.above.with.Highest.Grade.Completed.O.Level,2327
2.Educ. & Literacy,Percent.12,2327
2.Educ. & Literacy,Females.4,2327
2.Educ. & Literacy,Percent.13,2327
2.Educ. & Literacy,Both Sexes.4,2327
2.Educ. & Literacy,Percent.14,2327
2.Educ. & Literacy,Population.20.Years.and.above.with.Highest.Grade.Completed.ALevel,2327
2.Educ. & Literacy,Percent.15,2327
2.Educ. & Literacy,Females.5,2327
2.Educ. & Literacy,Percent.16,2327
2.Educ. & Literacy,Both Sexes.5,2327
2.Educ. & Literacy,Percent.17,2327
2.Educ. & Literacy,Population.18+.who.are.illiterate,2327
2.Educ. & Literacy,Percent.18,2327
2.Educ. & Literacy,Females.6,2327
2.Educ. & Literacy,Percent.19,2327
2.Educ. & Literacy,Both Sexes.6,2327
2.Educ. & Literacy,Percent.20,2327
2.Educ. & Literacy,Illiteracy.Status.of.other.Age.groups,2327
2.Educ. & Literacy,Percent.21,2327
2.Educ. & Literacy,18-30 Illiterate,2327
2.Educ. & Literacy,Percent.22,2327
2.Educ. & Literacy,60 and above Illiterate,2327
2.Educ. & Literacy,Percent.23,2327
3. Birth Registration,District,7557
3. Birth Registration,County,7557
3. Birth Registration,Subcounty,7557
3. Birth Registration,Parish,7557
3. Birth Registration,Children.with.a.Birth.Certificate.by.Age,7557
3. Birth Registration,Percent,7557
3. Birth Registration,Less than 5 Years,7557
3. Birth Registration,Percent.1,7557
3. Birth Registration,0-8 Years,7557
3. Birth Registration,Percent.2,7557
3. Birth Registration,0-17 Years,7557
3. Birth Registration,Percent.3,7557
4. Parental Survival,District,7557
4. Parental Survival,County,7557
4. Parental Survival,Subcounty,7557
4. Parental Survival,Parish,7557
4. Parental Survival,Parental.Survival.and.Orphanhood.for.Chidren.0-8.Years,7557
4. Parental Survival,Percent,7557
